System,Enzyme_type,Name
RM_Type_IIG,IIG,Type_IIG_FAM_0.einsi_trimmed
RM_Type_IIG,IIG,Type_IIG_FAM_1.einsi_trimmed
RM_Type_IIG,IIG,Type_IIG_FAM_2.einsi_trimmed
RM_Type_IIG,IIG,Type_IIG_1
RM_Type_IIG,IIG,Type_IIG_2
RM_Type_IIG,IIG,Type_IIG_3
RM_Type_IIG,IIG,Type_IIG_4
RM_Type_IIG,IIG,Type_IIG_5
RM_Type_III,MT,Type_III_MTases_FAM_0
RM_Type_III,MT,Type_III_MTases_FAM_1
RM_Type_III,RE,Type_III_REases_FAM_0.einsi_trimmed
RM_Type_III,RE,Type_III_REases_FAM_1.einsi_trimmed
RM_Type_II,MT,Type_II_MTases_FAM_0
RM_Type_II,MT,Type_II_MTases_FAM_1
RM_Type_II,MT,Type_II_MTases_FAM_10
RM_Type_II,MT,Type_II_MTases_FAM_11
RM_Type_II,MT,Type_II_MTases_FAM_12
RM_Type_II,MT,Type_II_MTases_FAM_13
RM_Type_II,MT,Type_II_MTases_FAM_14
RM_Type_II,MT,Type_II_MTases_FAM_15
RM_Type_II,MT,Type_II_MTases_FAM_16
RM_Type_II,MT,Type_II_MTases_FAM_17
RM_Type_II,MT,Type_II_MTases_FAM_18
RM_Type_II,MT,Type_II_MTases_FAM_19
RM_Type_II,MT,Type_II_MTases_FAM_2
RM_Type_II,MT,Type_II_MTases_FAM_20
RM_Type_II,MT,Type_II_MTases_FAM_21
RM_Type_II,MT,Type_II_MTases_FAM_22
RM_Type_II,MT,Type_II_MTases_FAM_23
RM_Type_II,MT,Type_II_MTases_FAM_24
RM_Type_II,MT,Type_II_MTases_FAM_25
RM_Type_II,MT,Type_II_MTases_FAM_26
RM_Type_II,MT,Type_II_MTases_FAM_27
RM_Type_II,MT,Type_II_MTases_FAM_28
RM_Type_II,MT,Type_II_MTases_FAM_29
RM_Type_II,MT,Type_II_MTases_FAM_3
RM_Type_II,MT,Type_II_MTases_FAM_30
RM_Type_II,MT,Type_II_MTases_FAM_31
RM_Type_II,MT,Type_II_MTases_FAM_32
RM_Type_II,MT,Type_II_MTases_FAM_33
RM_Type_II,MT,Type_II_MTases_FAM_34
RM_Type_II,MT,Type_II_MTases_FAM_35
RM_Type_II,MT,Type_II_MTases_FAM_36
RM_Type_II,MT,Type_II_MTases_FAM_37
RM_Type_II,MT,Type_II_MTases_FAM_38
RM_Type_II,MT,Type_II_MTases_FAM_39
RM_Type_II,MT,Type_II_MTases_FAM_4
RM_Type_II,MT,Type_II_MTases_FAM_40
RM_Type_II,MT,Type_II_MTases_FAM_41
RM_Type_II,MT,Type_II_MTases_FAM_42
RM_Type_II,MT,Type_II_MTases_FAM_5
RM_Type_II,MT,Type_II_MTases_FAM_6
RM_Type_II,MT,Type_II_MTases_FAM_7
RM_Type_II,MT,Type_II_MTases_FAM_8
RM_Type_II,MT,Type_II_MTases_FAM_9
RM_Type_II,RE,Type_II_REase01
RM_Type_II,RE,Type_II_REase02
RM_Type_II,RE,Type_II_REase03
RM_Type_II,RE,Type_II_REase04
RM_Type_II,RE,Type_II_REase05
RM_Type_II,RE,Type_II_REase06
RM_Type_II,RE,Type_II_REase07
RM_Type_II,RE,Type_II_REase08
RM_Type_II,RE,Type_II_REase09
RM_Type_II,RE,Type_II_REase10
RM_Type_II,RE,Type_II_REase11
RM_Type_II,RE,Type_II_REase20
RM_Type_II,RE,Type_II_REase21
RM_Type_II,RE,Type_II_REase22
RM_Type_II,RE,Type_II_REase23
RM_Type_II,RE,Type_II_REase24
RM_Type_II,RE,Type_II_REase25
RM_Type_II,RE,Type_II_REase26
RM_Type_II,RE,Type_II_REase27
RM_Type_II,RE,Type_II_REase28
RM_Type_II,RE,Type_II_REase29
RM_Type_II,RE,Type_II_REase12
RM_Type_II,RE,Type_II_REase30
RM_Type_II,RE,Type_II_REase31
RM_Type_II,RE,Type_II_REase32
RM_Type_II,RE,Type_II_REase13
RM_Type_II,RE,Type_II_REase14
RM_Type_II,RE,Type_II_REase15
RM_Type_II,RE,Type_II_REase16
RM_Type_II,RE,Type_II_REase17
RM_Type_II,RE,Type_II_REase18
RM_Type_II,RE,Type_II_REase19
RM_Type_II,RE,Type_II_REase33
RM_Type_II,RE,Type_II_REase34
RM_Type_II,RE,Type_II_REase35
RM_Type_II,RE,Type_II_REase36
RM_Type_II,RE,Type_II_REase37
RM_Type_II,RE,Type_II_REase38
RM_Type_I,MT,Type_I_MTases_FAM_0
RM_Type_I,MT,Type_I_MTases_FAM_1
RM_Type_I,MT,Type_I_MTases_FAM_2
RM_Type_I,MT,Type_I_MTases_FAM_3
RM_Type_I,RE,Type_I_REases_FAM_0.einsi_trimmed
RM_Type_I,RE,Type_I_REases_FAM_1.einsi_trimmed
RM_Type_I,RE,Type_I_REases_FAM_2.einsi_trimmed
RM_Type_I,SP,Type_I_S_01
RM_Type_I,SP,Type_I_S_02
RM_Type_I,SP,Type_I_S_03
RM_Type_I,SP,Type_I_S_04
RM_Type_I,SP,Type_I_S_06
RM_Type_I,SP,Type_I_S_51
RM_Type_I,SP,Type_I_S_52
RM_Type_IV,RE,Type_IV_01-RM_Type_IV__Type_IV_REases
RM_Type_IV,RE,Type_IV_03-RM_Type_IV__Type_IV_REases
RM_Type_IV,RE,Type_IV_05-RM_Type_IV__Type_IV_REases
RM_Type_IV,RE,Type_IV_21-RM_Type_IV__Type_IV_REases
RM_Type_IV,RE,Type_IV_22-RM_Type_IV__Type_IV_REases
RM_Type_IV,RE,FAM_0-RM_Type_IV__Type_IV_REases
RM_Type_IV,RE,FAM_1-RM_Type_IV__Type_IV_REases
RM_Type_IV,RE,FAM_2-RM_Type_IV__Type_IV_REases
